3q-conflict,FC,LX,17,5,3,0,17,5,3,1,0
3q-conflict,FC,LD,17,5,3,0,17,5,3,0,0
3q-conflict,FC,DEG,17,5,3,0,17,5,3,0,0
3q-conflict,FC,DD,17,5,3,0,17,5,3,1,0
3q-intension,FC,LX,17,5,3,0,17,5,3,5,0
3q-intension,FC,LD,17,5,3,0,17,5,3,3,0
3q-intension,FC,DEG,17,5,3,0,17,5,3,2,0
3q-intension,FC,DD,17,5,3,0,17,5,3,3,0
4q-conflicts,FC,LX,38,8,2,1,76,16,11,2,2
4q-conflicts,FC,LD,38,8,2,0,76,16,11,2,2
4q-conflicts,FC,DEG,38,8,2,0,76,16,11,1,2
4q-conflicts,FC,DD,38,8,2,1,76,16,11,2,2
4q-supports,FC,LX,38,8,2,0,76,16,11,1,2
4q-supports,FC,LD,38,8,2,0,76,16,11,1,2
4q-supports,FC,DEG,38,8,2,0,76,16,11,1,2
4q-supports,FC,DD,38,8,2,0,76,16,11,1,2
5q-intension,FC,LX,34,5,0,2,282,53,40,18,10
5q-intension,FC,LD,34,5,0,2,282,53,40,13,10
5q-intension,FC,DEG,34,5,0,1,282,53,40,11,10
5q-intension,FC,DD,34,5,0,1,282,53,40,10,10
6q-conflicts,FC,LX,229,27,13,1,964,130,83,4,4
6q-conflicts,FC,LD,229,27,13,1,964,130,83,6,4
6q-conflicts,FC,DEG,229,27,13,1,964,130,83,8,4
6q-conflicts,FC,DD,229,27,13,1,964,130,83,7,4
6q-intension,FC,LX,229,27,13,9,964,130,83,37,4
6q-intension,FC,LD,229,27,13,8,964,130,83,34,4
6q-intension,FC,DEG,229,27,13,9,964,130,83,29,4
6q-intension,FC,DD,229,27,13,5,964,130,83,27,4
20_8_100_20,FC,LX,374775,25692,10566,3044,542111,36904,15090,4015,15
20_8_100_20,FC,LD,374775,25692,10566,1741,542111,36904,15090,2502,15
20_8_100_20,FC,DEG,20801,1440,537,231,66042,4257,1616,433,15
20_8_100_20,FC,DD,20801,1440,537,102,66042,4257,1616,301,15
orderchain,FC,LX,56,15,4,0,56,15,8,0,1
orderchain,FC,LD,56,15,4,0,56,15,8,0,1
orderchain,FC,DEG,32,8,1,0,40,9,5,0,1
orderchain,FC,DD,32,8,1,0,40,9,5,0,1
ColAustralia-conflicts,FC,LX,22,7,0,0,132,84,61,0,18
ColAustralia-conflicts,FC,LD,22,7,0,0,132,84,61,0,18
ColAustralia-conflicts,FC,DEG,22,7,0,0,93,81,58,0,18
ColAustralia-conflicts,FC,DD,22,7,0,0,93,81,58,0,18
ColAustralia-intension,FC,LX,22,7,0,0,132,84,61,1,18
ColAustralia-intension,FC,LD,22,7,0,0,132,84,61,1,18
ColAustralia-intension,FC,DEG,22,7,0,0,93,81,58,0,18
ColAustralia-intension,FC,DD,22,7,0,0,93,81,58,0,18
mutexK4,FC,LX,7,4,0,0,14,8,7,0,2
mutexK4,FC,LD,7,4,0,0,14,8,7,0,2
mutexK4,FC,DEG,6,4,0,0,14,10,7,0,2
mutexK4,FC,DD,6,4,0,0,14,10,7,0,2
zebra,FC,LX,15485,2171,1363,369,52104,7345,4632,1169,1
zebra,FC,LD,9088,1367,842,233,31540,4786,3017,746,1
zebra,FC,DEG,8360,1394,525,175,120193,19628,7604,2080,1
zebra,FC,DD,4296,776,299,35,41768,7737,3232,306,1
zebra-intension-binary,FC,LX,34248,8522,4388,509,36780,9170,4765,555,1
zebra-intension-binary,FC,LD,7145,1706,886,131,9308,2283,1235,164,1
zebra-intension-binary,FC,DEG,45353,8381,2390,542,210114,37345,10525,2074,1
zebra-intension-binary,FC,DD,5680,1362,569,56,20435,4314,1679,192,1
